,logFC,AveExpr,t,P.Value,adj.P.Val,B
DOCK2,-0.956311343653188,5.80269520273179,-12.7377657152751,1.26595641137501e-31,2.77175401923233e-29,61.0551461355878
MFSD1,-0.615961532166567,9.82524446451837,-12.7173868323084,1.52777155263884e-31,3.28525447087088e-29,60.8695043101918
PYCARD,-1.06342017301605,7.00345396352177,-12.6988278879976,1.81283545498552e-31,3.82530281352038e-29,60.7005541660046
PTGER4,-0.608723091390036,5.00757852963653,-12.6970696019432,1.84244779259411e-31,3.82530281352038e-29,60.6845533194711
PLAUR,-1.01051839959797,6.39073454235036,-12.6820773931452,2.11533021446738e-31,4.3174248207824e-29,60.5481598677972
FCER1G,-1.37317425078993,9.1058855527884,-12.6764252925776,2.22835290131209e-31,4.47230427293337e-29,60.4967575387459
NPC2,-0.88987415288806,10.8160078010062,-12.6670290596241,2.42971276667791e-31,4.79649198956318e-29,60.4113269359695
C5AR1,-1.1559886425607,6.42600485276186,-12.6620654863148,2.54329646108073e-31,4.93973806198938e-29,60.3662093421607
COL1A2,-1.73874488511062,9.65886767035656,-12.6484868795884,2.88177926827327e-31,5.50831522992806e-29,60.2428231133036
CD33,-0.615890888733095,5.23488300430356,-12.6320676193774,3.35152684208416e-31,6.30610722380898e-29,60.0937024042422
LCP2,-0.954728218184693,6.42340913674969,-12.6058868786043,4.26321689867442e-31,7.89810121443651e-29,59.8561045906131
CD53,-1.27753620316044,9.09848202248302,-12.5778892720687,5.51288635711183e-31,1.0058511744294e-28,59.6022603356688
EMR2,-0.831634199185853,4.98952810803541,-12.5691444773617,5.97347426723455e-31,1.07362055411998e-28,59.5230259131985
FLJ22662,-1.09493495497115,6.52564012536502,-12.4992644647685,1.13322221226419e-30,2.00680321765961e-28,58.8907468479056
TNFAIP3,-0.95096413837901,6.79718495219295,-12.4764648788699,1.3960399781959e-30,2.43639324890362e-28,58.6847977414372
S100A9,-1.49523344339922,7.11620670861098,-12.4599947144124,1.62288639331083e-30,2.78639297143233e-28,58.5361281508595
ARPC1B,-0.870542703031432,8.42807028678252,-12.4586558326382,1.64286581109197e-30,2.78639297143233e-28,58.5240465078946
SLC11A1,-0.576287881593122,5.38821828610443,-12.4561048949193,1.68161265240585e-30,2.81249716114879e-28,58.5010292860629
GPR65,-1.05899059328342,5.95516354227639,-12.4046818517297,2.68912122642753e-30,4.42035210996961e-28,58.0374939174328
CTSC,-1.13929603676991,9.11338368514765,-12.4035762022349,2.71637648345583e-30,4.42035210996961e-28,58.0275370147035
ARHGDIB,-0.921510592253531,9.49272095199745,-12.3897814377212,3.08047420361859e-30,4.94600938133001e-28,57.9033426569278
HMHA1,-0.682238386319646,5.99790864752694,-12.3690204606378,3.72203121689493e-30,5.8974605149801e-28,57.7165507087269
SLA,-1.13506354294982,7.38380167134437,-12.3313528225486,5.24435895494716e-30,8.139867063107e-28,57.3780126172104
PLCG2,-0.862302840165509,6.14719424722294,-12.3305849328059,5.28111943301009e-30,8.139867063107e-28,57.3711161505174
SERPINA1,-1.50025797461775,7.82509809164262,-12.3293648547915,5.3400556218689e-30,8.139867063107e-28,57.360158959625
C1QA,-1.38549863054247,9.32704243342752,-12.2578114309518,1.02289343702667e-29,1.52533741025894e-27,56.7184357213059
COL1A1,-1.30115199126933,6.32926241439577,-12.2574759017434,1.0260117109365e-29,1.52533741025894e-27,56.7154306332301
FYB,-0.849062213248124,5.98585031700155,-12.2432157352106,1.16766839822775e-29,1.714763762373e-27,56.5877482852953
CD86,-0.871673518578808,5.91403160523826,-12.2104663308844,1.57107719209248e-29,2.2793869333949e-27,56.2947805004474
NCF2,-0.996313328869999,5.79277570915233,-12.1697958862116,2.26999760241575e-29,3.25420370574887e-27,55.9314660617672
TLR5,-0.843083085528093,5.4945853678231,-12.1270839479614,3.33894951764982e-29,4.73030942253402e-27,55.5505307612576
PSCDBP,-0.985537070792165,5.41463041482111,-12.0973315303747,4.36700988262232e-29,6.11482941936488e-27,55.2855531221067
CXorf9,-1.01552377843628,5.90229334979227,-12.0842134202583,4.91519020873158e-29,6.80330120615468e-27,55.1688205267274
TGFBI,-1.32080546153854,10.0064572583584,-12.0585423131243,6.19390707800439e-29,8.45831421901805e-27,54.9405590585628
CLEC2B,-1.28198460988274,7.15429114764926,-12.0575165879563,6.25136991772634e-29,8.45831421901805e-27,54.9314433751202
C1S,-1.48094244843449,9.2774017719454,-12.0509613915496,6.63134715885745e-29,8.87274249855127e-27,54.8731957086901
AQP9,-1.0846332049666,5.74249642972691,-12.0452150824939,6.98330020501613e-29,9.1435548403741e-27,54.8221480800528
MSR1,-0.460293515342772,4.75102050907516,-12.0451783457457,6.98560907917636e-29,9.1435548403741e-27,54.8218217648421
TNFRSF1B,-0.915471949038414,6.38308297545043,-12.0212634504029,8.66202027711989e-29,1.12159191588256e-26,54.6094984710216
HCLS1,-1.2042750670074,8.24237572611049,-12.0039089952033,1.012402509407e-28,1.29695223598713e-26,54.4555477960988
RNASE2,-1.27521436133313,6.61155394918619,-11.9688590934079,1.3867899730315e-28,1.75786577423636e-26,54.1449490829347
HLA-DMA,-1.23939971898087,8.71949473993182,-11.940546567914,1.78756054484203e-28,2.24227125843622e-26,53.8943758416242
TFEC,-0.881833098913594,5.29776278824897,-11.8979717522715,2.61706089773702e-28,3.24893271448961e-26,53.5181217411013
CYBB,-0.921943695674737,6.79998590314986,-11.867117874756,3.44835850025528e-28,4.20174994362238e-26,53.2458620989778
BCL2A1,-1.24665941851052,5.78454271791793,-11.8669234674456,3.45435346635622e-28,4.20174994362238e-26,53.2441477166184
EBI2,-1.18430292002347,5.9333956071954,-11.8600221297445,3.67402741620802e-28,4.4242638145977e-26,53.1832971563671
CYP1B1,-1.32907167230192,5.93375330919506,-11.8224558844199,5.13758372878085e-28,6.12542408534445e-26,52.8523733198101
CCL2,-1.85094454967974,8.7345718336414,-11.8164313698991,5.42114085218267e-28,6.40013511195918e-26,52.7993511285421
HLA-DMB,-1.10083916801593,8.40482177555377,-11.7905860417181,6.82525898171588e-28,7.97958919007986e-26,52.57203630793
TYROBP,-1.28983418897779,9.53635526500984,-11.7793890195325,7.5408723053119e-28,8.73146002890057e-26,52.4736328885117
SRGN,-1.16812390431885,10.0600567870978,-11.7724538363713,8.02106616133493e-28,9.19901702045668e-26,52.4127073190957
FOLR2,-1.07430174346272,6.51575524214285,-11.7177399181752,1.3046026564011e-27,1.48207784796057e-25,51.9326730134922
OLFML2B,-1.09985277415736,6.37033425397999,-11.7019415164573,1.50101440898575e-27,1.68927247785107e-25,51.7942733393156
TBXAS1,-0.794976333777718,5.78565612582208,-11.6786943065748,1.84473864034553e-27,2.05688358398526e-25,51.5907899092271
FGL2,-0.923136724920562,6.46859174089602,-11.6655606328485,2.07246833673103e-27,2.28960217531331e-25,51.4759205300235
HK3,-0.519093279184952,4.51853708997147,-11.6552784264309,2.27010378329283e-27,2.48514452349202e-25,51.3860360505236
TNFAIP8,-0.936017807249443,5.96956731359553,-11.638970453294,2.62271138802361e-27,2.84528743554777e-25,51.243557909199
GIMAP5,-0.573722619370709,6.35622933299839,-11.6243872865315,2.98391517849975e-27,3.20824165888339e-25,51.1162343880076
IER3,-1.33880644933878,7.53362312899858,-11.6215626990372,3.05939779196187e-27,3.26028922219512e-25,51.0915826700341
CFD,-1.06546114946102,5.93048421267958,-11.6074197427464,3.4668935544272e-27,3.662134401966e-25,50.9681950648974
CEBPB,-0.811690004046628,9.4192622451717,-11.5902107590613,4.03620537198655e-27,4.22643348604017e-25,50.818161417774
GIMAP6,-0.902560503903894,6.79367560727264,-11.5726626726179,4.71255951027442e-27,4.85856625098176e-25,50.6652880572363
LHFPL2,-0.784630890825023,7.9431179185785,-11.5724699869979,4.72058006448153e-27,4.85856625098176e-25,50.6636100965937
LAPTM5,-1.1335476901904,9.71097714967356,-11.5480707491469,5.85413063024084e-27,5.9741899194373e-25,50.4512499640283
LY96,-1.28962345420443,7.52853976019903,-11.5409408585802,6.23385183428578e-27,6.30823897382096e-25,50.3892378370793
LILRB1,-0.884446194882624,5.55792808514834,-11.5261608867906,7.10082824923935e-27,7.10949491139671e-25,50.2607517317349
AOAH,-0.648989646428047,5.3488871538203,-11.5254768390778,7.14373762065273e-27,7.10949491139671e-25,50.2548071728007
FCGR1A,-1.06136384293771,6.77672669293033,-11.5205832219393,7.45832552556529e-27,7.36173409662764e-25,50.2122856020103
CD4,-0.824263245172419,6.58481734278176,-11.4636848629553,1.23014729675735e-26,1.20434420711805e-24,49.7185675089382
TREM1,-1.43266406461771,6.44057659472659,-11.4620377295608,1.2480731053186e-26,1.21204002695537e-24,49.7042938009039
PLEK,-0.777153951352179,6.37662666556185,-11.4513075416613,1.3713824636772e-26,1.32113501020807e-24,49.6113342474832
TDO2,-1.59525597945334,5.72919631819978,-11.4502369784003,1.38433123594038e-26,1.32302513834873e-24,49.6020620379749
LILRB3,-0.384985588625062,5.79003711162581,-11.419071351655,1.81958021674732e-26,1.72453635360729e-24,49.3323318718177
CD84,-0.215781918530153,4.77648311872018,-11.418227506581,1.83308963014228e-26,1.72453635360729e-24,49.3250339273725
IL7R,-0.911631144028026,5.4553419415667,-11.4029612370344,2.09546814013349e-26,1.95609514290601e-24,49.1930529602026
VAV1,-0.504761051952106,5.08820250117053,-11.3945243149614,2.2561689943377e-26,2.08990669460112e-24,49.1201529839744
TLR1,-0.827825600972877,5.89902320760551,-11.3870997267127,2.40769603107774e-26,2.21324241268994e-24,49.0560234469045
TGFBR2,-0.644482452843929,6.09279016200245,-11.2785688263143,6.21129392608965e-26,5.66639404984633e-24,48.1210975136285
ADAM28,-0.543778009819635,5.30928400990345,-11.260366197627,7.27800520965702e-26,6.58960441614209e-24,47.9647557443292
SAT1,-0.625351197374545,10.3386713276357,-11.2233174213904,1.00444892389932e-25,8.92290026206218e-24,47.6469591195751
SLCO2B1,-0.675698428105663,6.21471705758899,-11.2232021771037,1.00545515688415e-25,8.92290026206218e-24,47.6459714472522
CTSB,-0.75534454920542,10.3584697235836,-11.2229414944249,1.00773495734966e-25,8.92290026206218e-24,47.6437373515053
VSIG4,-1.50512449173537,9.56406431072228,-11.201945632109,1.20928760335517e-25,1.06293732259876e-23,47.4638900107414
